Elapsed;Time;User Path;Virtual User ID;Parent;Element;Response time;Success;Population;Zone;CustumValue
118149;2020-09-30T19:37:21.168+02:00;"BrowseForAnimals";0-17;"Try";"Tr005_ViewAnimal";149;yes;"Browsers";"Default zone";"EST-7;200"
118651;2020-09-30T19:37:21.670+02:00;"BrowseForAnimals";0-14;"Try";"Tr004_SelectProductID";147;yes;"Browsers";"Default zone";"RP-LI-02;200"
119251;2020-09-30T19:37:22.270+02:00;"BrowseForAnimals";0-15;"Try";"Tr001_HomePage";692;yes;"Browsers";"Default zone";""
120569;2020-09-30T19:37:23.588+02:00;"SearchAnimal";0-10;"Try";"Tr003_Search";155;yes;"Searchers";"Default zone";"Monkey;200"
120725;2020-09-30T19:37:23.744+02:00;"SearchAnimal";0-11;"Try";"Tr004_SelectAnimal";122;yes;"Searchers";"Default zone";"FL-DLH-02;200"
121090;2020-09-30T19:37:24.109+02:00;"SearchAnimal";0-6;"Try";"Tr003_Search";141;yes;"Searchers";"Default zone";"Fish;200"
121091;2020-09-30T19:37:24.110+02:00;"SearchAnimal";0-5;"Try";"Tr002_EnterStore";299;yes;"Searchers";"Default zone";""
121131;2020-09-30T19:37:24.150+02:00;"SearchAnimal";0-10;"Try";"Tr001_HomePage";556;yes;"Searchers";"Default zone";""
121534;2020-09-30T19:37:24.553+02:00;"BrowseForAnimals";0-14;"Try";"Tr005_ViewAnimal";141;yes;"Browsers";"Default zone";"EST-13;200"
121999;2020-09-30T19:37:25.018+02:00;"BrowseForAnimals";0-17;"Try";"Tr006_BackHome";64;yes;"Browsers";"Default zone";""
122664;2020-09-30T19:37:25.683+02:00;"BrowseForAnimals";0-15;"Try";"Tr002_EnterStore";328;yes;"Browsers";"Default zone";""
124393;2020-09-30T19:37:27.412+02:00;"SearchAnimal";0-11;"Try";"Tr005_SeeDetails";73;yes;"Searchers";"Default zone";"EST-16;200"
125435;2020-09-30T19:37:28.454+02:00;"BrowseForAnimals";0-15;"Try";"Tr003_Browse";75;yes;"Browsers";"Default zone";"Birds;200"
125995;2020-09-30T19:37:29.014+02:00;"SearchAnimal";0-6;"Try";"Tr004_SelectAnimal";132;yes;"Searchers";"Default zone";"FI-FW-01;200"
126488;2020-09-30T19:37:29.507+02:00;"SearchAnimal";0-10;"Try";"Tr002_EnterStore";480;yes;"Searchers";"Default zone";""
126865;2020-09-30T19:37:29.884+02:00;"BrowseForAnimals";0-14;"Try";"Tr006_BackHome";308;yes;"Browsers";"Default zone";""
127787;2020-09-30T19:37:30.806+02:00;"SearchAnimal";0-5;"Try";"Tr003_Search";845;yes;"Searchers";"Default zone";"Reptiles;200"
127996;2020-09-30T19:37:31.015+02:00;"BrowseForAnimals";0-12;"Try";"Tr001_HomePage";1084;yes;"Browsers";"Default zone";""
128278;2020-09-30T19:37:31.297+02:00;"SearchAnimal";0-7;"Try";"Tr001_HomePage";758;yes;"Searchers";"Default zone";""
128946;2020-09-30T19:37:31.965+02:00;"BrowseForAnimals";0-15;"Try";"Tr004_SelectProductID";151;yes;"Browsers";"Default zone";"AV-CB-01;200"
129685;2020-09-30T19:37:32.704+02:00;"SearchAnimal";0-10;"Try";"Tr003_Search";160;yes;"Searchers";"Default zone";"Snake;200"
129744;2020-09-30T19:37:32.763+02:00;"SearchAnimal";0-6;"Try";"Tr005_SeeDetails";70;yes;"Searchers";"Default zone";"EST-5;200"
129931;2020-09-30T19:37:32.950+02:00;"SearchAnimal";0-11;"Try";"Tr006_BackHome";347;yes;"Searchers";"Default zone";""
130136;2020-09-30T19:37:33.155+02:00;"SearchAnimal";0-2;"Try";"Tr001_HomePage";610;yes;"Searchers";"Default zone";""
130245;2020-09-30T19:37:33.264+02:00;"SearchAnimal";0-5;"Try";"Tr004_SelectAnimal";130;yes;"Searchers";"Default zone";"RP-LI-02;200"
131125;2020-09-30T19:37:34.144+02:00;"BrowseForAnimals";0-12;"Try";"Tr002_EnterStore";506;yes;"Browsers";"Default zone";""
131235;2020-09-30T19:37:34.254+02:00;"SearchAnimal";0-7;"Try";"Tr002_EnterStore";406;yes;"Searchers";"Default zone";""
133049;2020-09-30T19:37:36.068+02:00;"SearchAnimal";0-5;"Try";"Tr005_SeeDetails";66;yes;"Searchers";"Default zone";"EST-13;200"
133559;2020-09-30T19:37:36.578+02:00;"BrowseForAnimals";0-12;"Try";"Tr003_Browse";72;no;"Browsers";"Default zone";"Snakes;500"
